OID,Cell_Third,MEAN
-1,L2,0.566938930885540
-1,A2,0.448814661228354
-1,B2,0.513412030986311
-1,C2,0.495197968433301
-1,D2,0.518329066753387
-1,E2,0.517112043168810
-1,F2,0.549170391076531
-1,G2,0.620539250527659
-1,H2,0.639715432640045
-1,I2,0.606797794981669
-1,J2,0.583450012822305
-1,K2,0.583116272652182
-1,L1,0.564379216471979
-1,A1,0.418590133685781
-1,B1,0.484374713761877
-1,C1,0.486852558453878
-1,D1,0.494685985644658
-1,E1,0.487075575523906
-1,F1,0.490566904852990
-1,G1,0.538749820090891
-1,H1,0.600425050159295
-1,I1,0.558661655426025
-1,J1,0.541324751079083
-1,K1,0.559736389764316
-1,L3,0.511711672829579
-1,A3,0.419768466500147
-1,B3,0.482225304632174
-1,C3,0.452752158640230
-1,D3,0.480906022940913
-1,E3,0.473000986601717
-1,F3,0.511460868135983
-1,G3,0.552925194263458
-1,H3,0.618512279457516
-1,I3,0.586440202262666
-1,J3,0.545513151645660
-1,K3,0.529861161940628
