OID,Cell_Third,MEAN
-1,L2,6.110521711713096
-1,A2,3.092702550808040
-1,B2,3.684460828342591
-1,C2,3.577724425331239
-1,D2,3.504496673567820
-1,E2,3.419977114515662
-1,F2,4.240819946809133
-1,G2,5.055245744902952
-1,H2,5.362645669474978
-1,I2,5.461940526882515
-1,J2,5.724392828872747
-1,K2,4.972088311260143
-1,L1,5.322467640898234
-1,A1,3.102319417531426
-1,B1,3.741267337217643
-1,C1,3.452219281232107
-1,D1,3.438062375596838
-1,E1,3.322782752639708
-1,F1,3.991614256910726
-1,G1,4.654575671672821
-1,H1,5.044518082340558
-1,I1,5.093941455563097
-1,J1,5.071539215205871
-1,K1,4.806719633049992
-1,L3,4.816254386749166
-1,A3,3.227776171754046
-1,B3,3.570425011916472
-1,C3,3.374186711780360
-1,D3,3.134027664290100
-1,E3,2.774086419987823
-1,F3,3.063730947306899
-1,G3,3.985713823617761
-1,H3,4.481534955652313
-1,I3,4.517459350431512
-1,J3,5.149134093816427
-1,K3,4.493260108013277
