Compound,MolMass,MeltPoint,WatSol,VapPress,LogKaw,dUaw,LogKow,dUow,LogKoa,dUoa,WatDiffCoeff,AirDiffCoeff,AirOHRateConst,WatHL,SoilHL,SedHL,LairTotEmiss,UairTotEmiss,WatEmiss,UairTotInflow,LairTotInflow,WatInflow,TorontoWaterConcentration,TorontoLowerAirConcentration,TorontoSoilConcentration,AirQOHRateConst,L,S,A,B,V,LogKocW,LogKslW,LogKqa,Up,CAS,SMILES
EHDPP,362,86.66,6.31E-02,6.31E-03,-5.00E+00,1.38E+05,6.30E+00,-8.30E+00,1.13E+01,-1.31E+05,1.26E-06,1.34E-02,3.98E-11,780,1488,3240,6.52E-02,0,0,0,1.91E-14,0,1.80E-05,2.60E-10,,1.99E-12,12.83,1.62,0,1.44,2.89,4.02,5.14,6.52,1.5,1241-94-7,CCCCC(CC)COP(=O)(OC1=CC=CC=C1)OC2=CC=CC=C2
TBOEP,398,85.78,2.00E+00,1.58E-04,-7.82E+00,1.64E+05,3.00E+00,-3.02E+01,1.23E+01,-1.37E+05,1.15E-06,1.24E-02,1.29E-10,704,816,1870,1.55E-01,0,0,0,1.97E-13,0,7.30E-04,6.90E-10,,4.44E-12,12.67,1.21,0,1.9,3.26,3.24,4.54,6.4,1.5,78-51-3,CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC
TCEP,285,82.99,7.94E+02,7.94E+00,-5.86E+00,9.10E+04,1.60E+00,-1.98E+01,7.60E+00,-7.16E+04,1.66E-06,1.72E-02,2.20E-11,2904,1464,13000,4.28E-01,0,0,0,1.75E-13,0,2.00E-04,7.70E-10,,1.10E-12,7.18,2.09,0.03,0.98,1.76,0.68,0.71,2.4,1.5,115-96-8,C(CCl)OP(=O)(OCCCl)OCCCl
TCiPP,328,72.27,5.01E+01,7.94E-03,-5.36E+00,1.15E+05,2.90E+00,-2.21E+01,8.50E+00,-1.12E+05,1.45E-06,1.54E-02,4.48E-11,5100,1464,13000,2.40E-01,0,0,0,2.41E-13,0,9.70E-04,6.70E-10,,2.24E-12,8.7,1.09,0,1.32,2.18,1.86,2.7,2.44,1.5,13674-84-5,CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl
TDCiPP,431,88.2,1.58E+00,1.26E-04,-4.69E+00,1.72E+05,3.70E+00,-7.76E+01,1.06E+01,-9.82E+04,1.31E-06,1.36E-02,1.81E-11,4320,1464,38900,2.63E-02,0,0,0,1.83E-13,0,1.10E-04,1.50E-10,,9.20E-13,9.93,2.1,0.03,1.24,2.55,2.23,2.78,5.03,1.5,13674-87-8,C(C(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl)Cl
TPhP,326,86.5,1.00E+00,1.58E-03,-4.43E+00,1.12E+05,4.70E+00,-3.43E-02,1.05E+01,-1.09E+05,1.44E-06,1.49E-02,1.08E-11,678,10,8100,2.35E-01,0,0,0,1.80E-12,0,2.00E-05,1.10E-09,,2.10E-12,11.26,1.66,0,1.1,2.37,3.64,4.55,4.93,1.5,115-86-6,C1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3
PBDE-28,406.9,139.86,2.64E-02,3.12E-04,-2.70E+00,6.20E+04,5.92E+00,-1.11E+01,9.16E+00,-7.30E+01,2.50E-06,3.90E-03,6.07E-13,2496,5016,13000,5.03E-05,0,0,0,3.26E-16,0,6.90E-09,3.20E-13,0.00E+00,3.03E-14,9.68,1.38,0,0.27,1.91,5.28,6.61,2.75,1.5,41318-75-6,C1=CC(=CC=C1OC2=C(C=C(C=C2)Br)Br)Br
PBDE-47,485.8,161.73,1.46E-03,3.21E-05,-3.12E+00,6.60E+04,6.53E+00,-3.06E+01,1.04E+01,-9.70E+01,2.40E-06,3.70E-03,4.31E-13,4608,9240,38900,1.93E-03,0,0,0,1.23E-14,0,3.20E-07,1.40E-11,1.81E+00,2.16E-14,10.66,1.45,0,0.34,2.08,5.72,7.12,3.66,1.5,5436-43-1,C1=CC(=C(C=C1Br)Br)OC2=C(C=C(C=C2)Br)Br
PBDE-100,564.691,182.8,3.94E-04,1.44E-04,-3.78E+00,5.70E+04,6.68E+00,-2.85E+01,1.13E+01,-1.05E+02,2.30E-06,3.60E-03,2.37E-13,8496,16968,38900,8.46E-08,0,0,0,0.00E+00,0,6.80E-08,5.40E-16,2.00E-02,1.18E-14,11.48,1.48,0,0.41,2.26,6.11,7.6,4.42,1.5,189084-64-8,C1=CC(=C(C=C1Br)Br)OC2=C(C=C(C=C2Br)Br)Br
PBDE-154,643.58,197.14,4.15E-06,3.83E-07,-3.68E+00,7.67E+04,7.36E+00,-2.15E+01,1.21E+01,-9.80E+01,2.20E-06,3.40E-03,1.00E-13,15696,31392,38900,6.96E-05,0,0,0,7.69E-16,0,4.40E-08,6.80E-13,1.00E-02,5.02E-15,13,1.5,0,0.5,2.4,6.78,8.36,5.58,1.5,207122-15-4,C1=C(C=C(C(=C1Br)OC2=CC(=C(C=C2Br)Br)Br)Br)Br
