Compound,MolMass,WatDiffCoeff,AirDiffCoeff,AirOHRateConst,WatHL,SoilHL,SedHL,L,S,A,B,V
EHDPP,362,1.26E-06,1.34E-02,3.98E-11,780,1488,3240,12.83,1.62,0,1.44,2.89
TBOEP,398,1.15E-06,1.24E-02,1.29E-10,704,816,1870,12.67,1.21,0,1.9,3.26
TCEP,285,1.66E-06,1.72E-02,2.20E-11,2904,1464,13000,7.18,2.09,0.03,0.98,1.76
TCiPP,328,1.45E-06,1.54E-02,4.48E-11,5100,1464,13000,8.7,1.09,0,1.32,2.18
TDCiPP,431,1.31E-06,1.36E-02,1.81E-11,4320,1464,38900,9.93,2.1,0.03,1.24,2.55
TPhP,326,1.44E-06,1.49E-02,1.08E-11,678,10,8100,11.26,1.66,0,1.1,2.37
PBDE-28,406.9,2.50E-06,3.90E-03,6.07E-13,2496,5016,13000,9.68,1.38,0,0.27,1.91
PBDE-47,485.8,2.40E-06,3.70E-03,4.31E-13,4608,9240,38900,10.66,1.45,0,0.34,2.08
PBDE-100,564.691,2.30E-06,3.60E-03,2.37E-13,8496,16968,38900,11.48,1.48,0,0.41,2.26
PBDE-154,643.58,2.20E-06,3.40E-03,1.00E-13,15696,31392,38900,13,1.5,0,0.5,2.4
PBDE-183,722.48,2.20E-06,3.30E-03,7.17E-14,21120,42216,38900,15,2.35,0,0.6,2.6
PCB-28,257.54,2.02E-06,0.015948,1.04E-12,5500,10000,17000,7.9,1.35,0,0.1,1.6
PCB-52,291.99,1.94E-06,0.015228,5.90E-13,10000,17000,55000,8.14,1.33,0,0,1.64
PCB-101,326.43,1.88E-06,0.014436,3.00E-13,31000,100000,55000,9.3,1.47,0,0,1.76
PCB-153,360.9,1.82E-06,0.013752,1.60E-13,55000,550000,170000,10.11,1.61,0,0,1.89
PCB-180,395.32,1.76E-06,0.013104,1.00E-13,55000,1000000,170000,10.42,1.75,0,0,2.01
